Trend_Name,Links,Explanation
NOTE:,,Those marked with an asterisk are the ones that have been shared by the official@creatorsaccount.
Time for the Holidays Trend |Example:,https://vm.tiktok.com/ZGdLRLc89/,Posting a fun video about starting to decorate for the holidays because it’s now November.
“What do you have to offer my daughter? Nothing. Only  This” Trend |Example:,https://www.instagram.com/reel/DAtncxxSTRt/,Posting a funny video lip syncing tothis soundshowcasing a silly quirk or talent that’s ‘the only thing you can offer’ people.
“Wait. They Don’t Love You Like I Do” Trend |Example:,https://www.instagram.com/reel/DBTsIbHRwGx/?igsh=M2x2eWg4MHh5Nzhi,"Posting a video tothis song, doing the dance from the example, often with a funny text overlay describing a situation where you would say “wait. they don’t love you like I do!”"
“I Lied. Put Your Clothes Back On” Trend |Example:,https://www.instagram.com/reel/DBgpqCHxiTH/?igsh=OWdudWJyNjRxMWY3,"Posting a video tothis songwith a funny text overlay describing a situation where you would lure someone to your place under false pretenses so you can tell them about a topic you’re hyperfixated on, or show them a weirdly specific hobby."
“Humans Saw This And Invented…” Trend |Example:,https://www.instagram.com/reel/C_L-fVaSx4j/?igsh=MXVoZTd6eGc3ZGppNA==,"Posting a video of an epic view/showcase of nature, with a text overlay saying “humans saw this and invented [insert very corporate/techy thing e.g. Microsoft Teams or Excel”"
Olympic Medals Trend |,,Example:Posting a video with this audio about what fictional Olympic sport you would win medals in if it were a real thing.
Match My Freak |Example:,https://www.instagram.com/reels/audio/496570739364385?igsh=MXZjNmkybmtpdXMz,"Posting a video withthis audio,with a text overlay asking if “somebody is gonna match my freak” then sharing in brackets a weird habit/interest you have – the more specific the better."
Blue Monday Fight |Example:,https://www.instagram.com/reel/C5LRVhVuqTj/?igsh=NTFzY3diMWtnZTA,"Posting a video dance fighting tothis audio, with text overlays showing a funny situation or argument."
2024 Ins/Outs |Example:,https://www.instagram.com/reel/C1hsUxrO_g2/?igsh=Z3JiODY4YTlwc2E4,Posting a video to an uplifting audio where the text reveals your 2024 ins and outs (ins being things you will be doing in 2024 and outs being things you won’t be doing).
“Things I Suffer From” Trend* |Example:,https://www.instagram.com/reel/C0J99IJOCBa/?igsh=dXRvaXpscjd2cTYz,"Posting a video tothis soundwhere you make a comical video referring to a made-up condition that you have, poking fun of a habit or something you do."
Coquette Trend* |Example:,https://www.instagram.com/reel/C0owP0Ku5-g/?igsh=dTJva2lpc3FodGcy,Posting a video referring to the coquette aesthetic (usually involving pink bows).
Bump Trend* |Example:,https://www.instagram.com/reel/C0LNJD0LvpV/?igsh=MXF0MmxyMG5kMTlpdw==,Posting a video tothis soundwhere you pretend to bump into someone as a meet cute.
Wearing vs Styling Trend |Example:,https://www.instagram.com/reel/Cwf3-oksKZ4/?igshid=MzRlODBiNWFlZA==,Posting a fashion themed video tothis soundwhere you contrast what it looks like wearing an unstyled outfit vs. how good it looks after you’ve properly styled it.
“Maturing” Trend |Example:,https://www.instagram.com/reel/CvzrJs2MdOG/?igshid=MzRlODBiNWFlZA==,"Posting a comical video tothis audiowhere you start with a text overlay statement in the format of “Maturing is realizing that _____” followed by a twist at the end where you show yourself doing said thing, along with a text overlay saying either “I’m immature” or “Jk I’m ______ [insert activity]”."
“No One Cares” Trend |Example:,https://www.instagram.com/reel/CvFb8TIAiIZ/?igshid=MzRlODBiNWFlZA==,"Posting a video tothis audiocontrasting the way you would live your life depending on how you interpret the phrase “no one cares”, showing the freeing side of how life can be when you free yourself of the idea that people are judging you."
Good Old Days Trend* |Example:,https://www.instagram.com/reel/CmXVMzlpLiT/?igshid=MzRlODBiNWFlZA==,Create a Graduation Reel where you showcase clips of you walking across different parts of your school/campus to the song“Good Days – Macklemore ft. Kesha”.
What I Would Wear as a Barbie Trend* |,,"Posting a Reel where you showcase your best Barbie-inspired outfits tothis audio.Or, in a more popular variation, a video usingthis audiowhere you showcase different Barbie outfits as you wave and lip sync to the lines, like inthis example."
“It’s Whackadoodle Time” Trend* |Example:,https://www.instagram.com/reel/Cry4Nmog7nU/?igshid=MzRlODBiNWFlZA==,Posting a Reel tothis audiowhere you are excited/hyper with a text overlay describing a relatable situation when you would be excited  to do something.
“Introduce Yourself as the Meaning of Your Name” Trend* |Example:,https://www.instagram.com/reel/CqlTCM_j8d4/,Posting a Reel tothis audiowhere you show photos/videos of yourself with a text overlay showing the meaning of your name.
Wes Anderson Trend |Example:,https://www.instagram.com/reel/Cqx3HaAuHAa/?igshid=YmMyMTA2M2Y=,Posting a video tothis audiowith a reel that evokes a Wes Anderson aesthetic through symmetry and bright colourful colour grading.
“It’s a Wrap” / Dealbreakers Trend* |,,Example:Posting a video tothis audiowith a text overlay describing a big dealbreaker for you.
I Really Love Earth Trend* |Example:,https://www.instagram.com/reel/Cnp4osXPA2U/?igshid=NzAzN2Q1NTE=,Posting a quick Reel showcasing beautiful nature/wonders of the Earth tothis audio.
“I Gotta See Her” Trend* |Example:,https://www.instagram.com/reel/CogLjxPp71D/?igshid=OTA3YzJiYTA=,"Posting a video lip syncing tothis soundalong with a text overlay that says “I found someone who has more [insert characteristic about yourself] than you” e.g. straighter teeth, longer eyelashes, etc."
"Hey, Mickey Transition Trend* |Example:",https://www.instagram.com/reel/CnVUf0ND35N/?igshid=MWI4MTIyMDE=,Posting a video tothis audiowhere you show a cool makeup transition.
Lifelong Treasure of Destiny Trend* |Example:,https://www.instagram.com/reels/audio/485301667054524,"Posting a video tothis audioshowcasing your favorite memories from 2023 so far, timing your edits to the beat."
“Why Wouldn’t I Be Confident” Trend*:Example:,https://www.instagram.com/reel/CnNkQjzBPKN/?igshid=MWI4MTIyMDE=,Posting a video where you lip sync tothis audiowhile showcasing your confidence and self-love.
2020 Selfie vs. 2022 Selfie Trend* |Example:,https://www.instagram.com/reel/ClhgGMAKMxI/?igshid=MWI4MTIyMDE=,"Posting a video where you contrast your first selfie taken in 2020 with your most recent one, usually with a text overlay at the start to provide context on what you’re showing."
2022 Season Trend |Example:,https://www.instagram.com/reel/CmwIQ1_gGhA/?igshid=MWI4MTIyMDE=,Posting an annual recap of your 2022 withthis audio.
“Blame it on the Phone” Trend* |Example:,https://www.instagram.com/reel/ClaN2vPO6kw/?igshid=MWI4MTIyMDE=,"Posting a (comical) video where you blame cringey things you’ve done (e.g. big purchase, embarrassing text, etc.) on a glitchy phone because you dripped a bit of water on it."
Loud Photos vs Quiet Photos Trend* |Example:,https://www.instagram.com/reel/CjKatq1pKJ3/?igshid=YmMyMTA2M2Y=,Contrasting high energy photos/clips with quiet low energy photos/clips tothis audioto show different facets of your personality.
Unholy Glow Up Trend* |Example: P,https://www.instagram.com/reel/CjQr_nFpNK8/?igshid=MDJmNzVkMjY=,"osting a glow-up video to showcase a wardrobe/makeup change whether with a dramatic transition or showing the gradual process, using the song Unholy."
Introduce Yourself as Your Middle Name Trend*Example:,https://www.instagram.com/reel/CjgvFAcPAl_/?igshid=YmMyMTA2M2Y=,"Posting a video where you show a different side to your personality that is consistent with your middle name, with a text overlay introducing yourself with this other name."
“When You Finally Realize” Trend |Example:,https://www.instagram.com/reel/ChDRdWFjijc/?igshid=MDJmNzVkMjY=,"Posting a video tothis songwith a text overlay explaining an important realization or epiphany you’ve had, with the format “When you finally realize…”"
Bubble Butt* Trend* |Example:,https://www.instagram.com/reel/Cgc-IaMra_V/?igshid=MDJmNzVkMjY=,Posting a video doingthis dancetothis songwhere you “grab a friend (or two) and sync your moves to @luclover’s song L$D”.
“You’re Not One of These” Trend* |Example:,https://www.instagram.com/reel/CgsRI-PJhrn/?igshid=MDJmNzVkMjY=,"Posting a video tothis songwhere you “film yourself moving along to Murder She Wrote and add the text ‘you’re not the type of person who does [insert your idea here] are you?’ then act in denial before revealing a person, place or thing that sows you’re *exactly* that kind of person."
Mixing Trend* |Example:,https://www.instagram.com/reel/CgfSmIIpRIf/?igshid=MDJmNzVkMjY=,"Posting a video tothis audiowith a text overlay describing a situation/memory you wish you could remix where you “pretend to remix like a DJ and film yourself with a hand on your ear, air mixing” and “add some context, describing the regrettable moment you’re taking back”."
“I Miss the Girl You Were” Trend* |Example:,https://www.instagram.com/reel/Cew2gdpp-Q6/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audioto “show off how your style changed through the years. First, show a picture of yourself as a kid, or years before your glowup. Then share a recent video or picture of yourself to show how far you’ve come”."
Brown Noise Trend* |Example:,https://www.instagram.com/reel/Cfvp5uejUgP/?igshid=YmMyMTA2M2Y=,"Posting a video with Brown Noise, showing “your reaction while you meditate to this audio for the first time”."
Being Mean to Myself Trend* |Example:,https://www.instagram.com/reel/CetnLayoqy6/?igshid=YmMyMTA2M2Y=,Posting a video tothis audiothat shows the importance of self love. Start by staring straight at the camera with text overlay “Being mean to myself and realizing I’m also talking about…” then show a montage of yourself as a child.
Put This Sound Over a Memory You Can’t Stop Thinking About” Trend |Example:,https://www.instagram.com/reel/CaxVtphg5kv/?igshid=YmMyMTA2M2Y%3D,“Posting a video of a cherished memory withthis songand a text overlay saying “Put This Sound Over a Memory You Can’t Stop Thinking About”.
Waves Trend |Example:,https://www.instagram.com/reel/Cegq5IYpara/?igshid=YmMyMTA2M2Y=,Posting a funny video withthis songandthis filterto make it look like you’re dancing in sync to the music.
“Ima Need Another Minute” Trend |Example:,https://www.instagram.com/reel/Cd1RnmfDDFU/?igshid=YmMyMTA2M2Y=,"Posting a video where you’re lip syncing tothis comedic audioabout being confused, usually with a text overlay describing the situation in which you’d be this confused."
“Beyond Brilliant Idea” Trend |Example:,https://www.instagram.com/reel/CZf0Ci5pIXm/?igshid=YmMyMTA2M2Y=,"Posting a video where you’re lip syncing tothis audio, then point to your “brilliant idea” when the ding comes on."
“Put This Sound Over a Core Memory” Trend |Example:,https://www.instagram.com/reel/CdwYeU7hMUu/?igshid=YmMyMTA2M2Y=,"Posting a video of a ‘core memory’/nostalgic moment tothis audio, often paired with a text overlay saying “Put This Sound Over a Core Memory”."
“I Call it Life” Trend |Example:,https://www.instagram.com/reel/Cbmm883g_Dz/?igshid=YmMyMTA2M2Y=,Posting a video tothis audiowhere you showcase a moment where you feel like you’re truly alive and living.
Here’s My Coffee” Trend |Example:,https://www.instagram.com/reel/Cbu4iXZtCs1/?igshid=YmMyMTA2M2Y=,"“Posting a video tothis audiowhere you show your coffee and what you’re reading, in time with the words in the audio."
“Everyday” Trend |Example:,https://www.instagram.com/reel/CdWMrOjpUTH/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audiowhere the text overlay references a question that people ask you where your response would be “Everyday. Not all day everyday, but everyday”."
“Do It With Pizzazz” Trend* |Example:,https://www.instagram.com/reel/Cdgu6UBA0fh/?igshid=YmMyMTA2M2Y=,Posting a video where you are lip syncing tothis songand sharing “what boosts your mood when you’re not feeling great.
“She’s Buff” Trend* |Example:,https://www.instagram.com/reel/CdinIogIILe/?igshid=YmMyMTA2M2Y=,Posting a video tothis songwhere you’re doing a dance where you show off and flex your muscles and shimmy.
“Like That” Trend* |Example:,https://www.instagram.com/reel/CdGYytIDBZy/?igshid=YmMyMTA2M2Y=,Posting a video tothis songwhere you dance and hype yourself up before doing a split in front of the camera.
“I’m Gonna Have to Go and Disagree With You There” Trend |Example:,https://www.instagram.com/reel/Cc6fFFEpWkT/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audiowhere you use lip sync to this audio and have a text overlay explaining a situation where you would disagree with someone (e.g. a myth you want to bust in your industry, or taste differences you feel passionately about)."
“It’s So Far a Masterpiece” Trend |Example:,https://www.instagram.com/reel/Cc3RImQp18p/?igshid=YmMyMTA2M2Y=,Posting a video tothis soundwhere you usethis audiosaying “It’s so far a masterpiece” and showcase something you’re actually proud of or jokingly poke fun of yourself for being really self-absorbed.
Glitch Recap Trend |Example:,https://www.instagram.com/reel/Cc8vOpSonkI/?igshid=YmMyMTA2M2Y=,"Posting a video tothis soundwhere it opens with a shot of a laptop showing the “title” of your video in white text on a black background, then cutting to a cool montage of clips, but with a glitchy transition that takes a few tries."
"“Dear Diary, I Love My Life” Trend |Example:",https://www.instagram.com/reel/CbX62uoAKJt/?igshid=YmMyMTA2M2Y=,"Posting a video tothis audiowhere the words “Dear diary, I love my life” pop up on the screen in time with the words, with a quick montage of aesthetic photos/moments as the music gets louder."
